Name,Status,Neighborhood,Tree Diameter
Callery pear,Alive,Upper East Side-Carnegie Hill,8
Callery pear,Alive,Lincoln Square,10
Sophora,Alive,West Village,9
Norway maple,Alive,Turtle Bay-East Midtown,4
Sophora,Alive,Midtown-Midtown South,4
Sophora,Alive,Upper West Side,13
Norway maple,Alive,Chinatown,7
swamp white oak,Alive,Upper West Side,4
Japanese zelkova,Alive,Battery Park City-Lower Manhattan,10
American linden,Alive,Murray Hill-Kips Bay,2
honeylocust,Alive,Upper West Side,10
ginkgo,Alive,Midtown-Midtown South,4
American linden,Alive,Upper East Side-Carnegie Hill,7
ginkgo,Alive,Morningside Heights,7
Sophora,Alive,Clinton,5
Sophora,Alive,West Village,11
Callery pear,Alive,Upper East Side-Carnegie Hill,7
Norway maple,Alive,Clinton,4
honeylocust,Alive,Lincoln Square,12
American linden,Alive,Central Harlem South,6
American linden,Alive,Central Harlem South,6
Norway maple,Alive,East Village,10
crab apple,Alive,Lincoln Square,4
ginkgo,Alive,Lenox Hill-Roosevelt Island,12
honeylocust,Alive,Lenox Hill-Roosevelt Island,9
American linden,Alive,Lenox Hill-Roosevelt Island,2
honeylocust,Alive,Lincoln Square,8
pin oak,Alive,Midtown-Midtown South,9
ginkgo,Alive,Upper West Side,5
honeylocust,Alive,Yorkville,4
honeylocust,Alive,Upper East Side-Carnegie Hill,13
honeylocust,Alive,Clinton,8
honeylocust,Alive,Washington Heights South,9
Callery pear,Alive,Lenox Hill-Roosevelt Island,11
mulberry,Alive,Murray Hill-Kips Bay,14
tulip-poplar,Alive,Washington Heights South,5
Sophora,Alive,Murray Hill-Kips Bay,10
Japanese zelkova,Alive,Lenox Hill-Roosevelt Island,14
Japanese zelkova,Alive,Lower East Side,2
northern red oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
honeylocust,Alive,Gramercy,9
ginkgo,Alive,West Village,11
honeylocust,Alive,Lenox Hill-Roosevelt Island,10
American linden,Alive,Upper East Side-Carnegie Hill,8
London planetree,Alive,Upper West Side,15
London planetree,Alive,Stuyvesant Town-Cooper Village,19
London planetree,Alive,Upper West Side,20
Amur maple,Alive,East Village,3
London planetree,Alive,Upper West Side,28
sweetgum,Alive,Upper West Side,22
sweetgum,Alive,Upper West Side,9
sawtooth oak,Alive,Yorkville,7
Japanese zelkova,Alive,West Village,6
ginkgo,Alive,Upper West Side,8
American linden,Alive,West Village,17
honeylocust,Alive,West Village,12
ginkgo,Alive,Upper West Side,6
Japanese zelkova,Alive,SoHo-TriBeCa-Civic Center-Little Italy,6
American elm,Alive,Morningside Heights,23
American elm,Alive,Murray Hill-Kips Bay,12
Japanese zelkova,Alive,Battery Park City-Lower Manhattan,13
Japanese zelkova,Alive,Chinatown,2
Japanese zelkova,Alive,Murray Hill-Kips Bay,6
London planetree,Alive,Morningside Heights,30
honeylocust,Alive,Lincoln Square,12
honeylocust,Alive,Upper East Side-Carnegie Hill,11
honeylocust,Alive,Upper East Side-Carnegie Hill,10
honeylocust,Alive,Lenox Hill-Roosevelt Island,6
holly,Alive,Lincoln Square,4
littleleaf linden,Alive,East Village,19
littleleaf linden,Alive,Upper West Side,5
littleleaf linden,Alive,Lenox Hill-Roosevelt Island,7
holly,Alive,Lincoln Square,2
littleleaf linden,Alive,Lower East Side,13
northern red oak,Alive,Chinatown,8
ginkgo,Alive,Midtown-Midtown South,5
London planetree,Alive,Chinatown,16
London planetree,Alive,Upper West Side,18
London planetree,Alive,Upper West Side,26
London planetree,Alive,Upper West Side,4
London planetree,Alive,Upper West Side,23
Japanese zelkova,Alive,Morningside Heights,6
Japanese zelkova,Alive,East Harlem South,4
Japanese zelkova,Alive,East Harlem South,4
honeylocust,Alive,Lincoln Square,8
American linden,Alive,Clinton,10
pin oak,Alive,Lincoln Square,3
pin oak,Alive,Lincoln Square,10
pin oak,Alive,Chinatown,5
pin oak,Alive,Upper West Side,3
London planetree,Alive,Upper West Side,22
London planetree,Alive,Chinatown,13
American elm,Alive,Upper West Side,33
London planetree,Alive,Upper West Side,20
littleleaf linden,Alive,Upper East Side-Carnegie Hill,7
honeylocust,Alive,East Harlem South,8
honeylocust,Alive,Lenox Hill-Roosevelt Island,7
London planetree,Alive,Upper West Side,23
London planetree,Alive,Upper West Side,15
honeylocust,Alive,East Harlem South,8
honeylocust,Alive,Upper West Side,2
honeylocust,Alive,Clinton,5
London planetree,Alive,Upper East Side-Carnegie Hill,10
American elm,Alive,Lincoln Square,2
London planetree,Alive,Upper West Side,22
honeylocust,Alive,Upper West Side,13
ginkgo,Alive,Upper West Side,9
honeylocust,Alive,East Harlem South,8
honeylocust,Alive,Chinatown,9
black cherry,Alive,East Village,6
Japanese zelkova,Alive,Murray Hill-Kips Bay,4
black oak,Alive,Lincoln Square,11
honeylocust,Alive,Lincoln Square,7
honeylocust,Alive,Yorkville,11
honeylocust,Alive,Clinton,9
Sophora,Alive,West Village,9
pin oak,Alive,Murray Hill-Kips Bay,10
Callery pear,Alive,Midtown-Midtown South,4
Callery pear,Alive,Lenox Hill-Roosevelt Island,11
London planetree,Alive,Central Harlem South,6
littleleaf linden,Alive,Upper West Side,14
littleleaf linden,Alive,Yorkville,12
American elm,Alive,Murray Hill-Kips Bay,13
London planetree,Alive,Upper West Side,16
London planetree,Alive,Central Harlem South,3
honeylocust,Alive,East Harlem South,7
American linden,Alive,East Harlem South,7
honeylocust,Alive,Upper West Side,14
honeylocust,Alive,Clinton,5
honeylocust,Alive,Morningside Heights,4
ginkgo,Alive,Upper West Side,6
American linden,Alive,Central Harlem South,3
honeylocust,Alive,Chinatown,8
ash,Alive,Clinton,13
London planetree,Alive,Upper East Side-Carnegie Hill,4
pin oak,Alive,Lincoln Square,4
pin oak,Alive,Upper West Side,9
honeylocust,Alive,Chinatown,13
Japanese zelkova,Alive,Central Harlem South,18
Sophora,Alive,West Village,17
pin oak,Alive,Chinatown,5
Callery pear,Alive,Upper East Side-Carnegie Hill,8
Callery pear,Alive,Upper West Side,9
littleleaf linden,Alive,Lower East Side,8
littleleaf linden,Alive,Upper East Side-Carnegie Hill,9
silver linden,Alive,Hamilton Heights,7
Callery pear,Alive,Lincoln Square,10
London planetree,Alive,Central Harlem South,6
Japanese zelkova,Alive,East Harlem South,4
pin oak,Alive,West Village,6
pin oak,Alive,Upper West Side,2
pin oak,Alive,Murray Hill-Kips Bay,11
ginkgo,Alive,Morningside Heights,9
honeylocust,Alive,Chinatown,4
honeylocust,Alive,Yorkville,2
honeylocust,Alive,Chinatown,13
honeylocust,Alive,Chinatown,11
pin oak,Alive,Chinatown,6
honeylocust,Alive,Yorkville,9
ginkgo,Alive,Chinatown,3
ginkgo,Alive,Chinatown,3
honeylocust,Alive,Lenox Hill-Roosevelt Island,9
honeylocust,Alive,Lenox Hill-Roosevelt Island,6
littleleaf linden,Alive,Upper West Side,5
London planetree,Alive,Upper West Side,11
green ash,Alive,East Village,3
pin oak,Alive,Lincoln Square,13
honeylocust,Alive,East Harlem South,7
honeylocust,Alive,East Harlem South,8
honeylocust,Alive,Lincoln Square,12
honeylocust,Alive,Upper West Side,11
ginkgo,Alive,Upper West Side,16
London planetree,Alive,Central Harlem South,7
hardy rubber tree,Alive,Upper West Side,4
hardy rubber tree,Alive,Upper West Side,6
Callery pear,Alive,Upper East Side-Carnegie Hill,13
pin oak,Alive,East Village,10
pin oak,Alive,East Village,10
pin oak,Alive,Morningside Heights,27
Callery pear,Alive,Upper East Side-Carnegie Hill,9
honeylocust,Alive,Upper West Side,14
ginkgo,Alive,SoHo-TriBeCa-Civic Center-Little Italy,7
northern red oak,Alive,Chinatown,8
pin oak,Alive,Chinatown,4
pin oak,Alive,Upper East Side-Carnegie Hill,4
ginkgo,Alive,Upper West Side,6
ginkgo,Alive,Turtle Bay-East Midtown,16
black walnut,Alive,Lenox Hill-Roosevelt Island,10
black walnut,Alive,Manhattanville,7
honeylocust,Alive,Yorkville,11
ginkgo,Alive,Chinatown,3
honeylocust,Alive,Upper West Side,8
pin oak,Alive,Morningside Heights,15
pin oak,Alive,Upper West Side,10
Callery pear,Alive,Clinton,23
Callery pear,Alive,Upper West Side,6
ginkgo,Alive,Upper West Side,6
honeylocust,Alive,Yorkville,9
honeylocust,Alive,Gramercy,8
honeylocust,Alive,Central Harlem South,9
Sophora,Alive,Turtle Bay-East Midtown,14
Sophora,Alive,Central Harlem South,16
pin oak,Alive,Upper West Side,11
pin oak,Alive,Upper West Side,12
pin oak,Alive,Washington Heights South,19
Callery pear,Alive,Lenox Hill-Roosevelt Island,10
silver linden,Alive,Upper East Side-Carnegie Hill,5
Japanese zelkova,Alive,Chinatown,3
Japanese zelkova,Alive,Upper East Side-Carnegie Hill,6
golden raintree,Alive,Upper East Side-Carnegie Hill,4
black locust,Alive,Central Harlem South,11
black locust,Alive,Upper East Side-Carnegie Hill,4
Sophora,Alive,Upper East Side-Carnegie Hill,15
Sophora,Alive,Yorkville,13
white oak,Alive,Lenox Hill-Roosevelt Island,3
Sophora,Alive,Midtown-Midtown South,2
golden raintree,Alive,Central Harlem South,6
black walnut,Alive,West Village,26
honeylocust,Alive,Upper West Side,15
ginkgo,Alive,Morningside Heights,10
honeylocust,Alive,Yorkville,14
honeylocust,Alive,Chinatown,13
American linden,Alive,Clinton,9
American elm,Alive,Lower East Side,16
American elm,Alive,Battery Park City-Lower Manhattan,4
London planetree,Alive,Upper West Side,17
London planetree,Alive,Upper West Side,4
Callery pear,Alive,Clinton,13
sweetgum,Alive,Upper West Side,3
Sophora,Alive,Yorkville,15
Sophora,Alive,Clinton,7
Sophora,Alive,Lincoln Square,9
Callery pear,Alive,Upper West Side,12
littleleaf linden,Alive,Upper West Side,3
honeylocust,Alive,Gramercy,9
honeylocust,Alive,Lincoln Square,3
ginkgo,Alive,West Village,7
honeylocust,Alive,Lincoln Square,10
honeylocust,Alive,Lincoln Square,12
swamp white oak,Alive,Central Harlem South,3
Callery pear,Alive,Morningside Heights,7
mulberry,Alive,Murray Hill-Kips Bay,15
silver linden,Alive,Upper East Side-Carnegie Hill,13
green ash,Alive,Upper West Side,11
cherry,Alive,Lenox Hill-Roosevelt Island,3
Japanese zelkova,Alive,Clinton,3
pin oak,Alive,Murray Hill-Kips Bay,13
pin oak,Alive,Upper West Side,10
pin oak,Alive,Washington Heights South,9
pin oak,Alive,Morningside Heights,5
Sophora,Alive,Upper East Side-Carnegie Hill,20
sawtooth oak,Alive,East Village,3
pin oak,Alive,Lincoln Square,19
Sophora,Alive,Upper East Side-Carnegie Hill,12
Sophora,Alive,West Village,9
Sophora,Alive,West Village,12
littleleaf linden,Alive,Manhattanville,4
littleleaf linden,Alive,Midtown-Midtown South,4
Callery pear,Alive,Central Harlem South,9
pin oak,Alive,Murray Hill-Kips Bay,8
Callery pear,Alive,Upper West Side,16
Callery pear,Alive,Lenox Hill-Roosevelt Island,13
green ash,Alive,West Village,10
green ash,Alive,Lenox Hill-Roosevelt Island,16
eastern hemlock,Alive,Marble Hill-Inwood,3
pin oak,Alive,Upper West Side,17
pin oak,Alive,Upper West Side,4
pin oak,Alive,Morningside Heights,10
pin oak,Alive,Upper West Side,13
pin oak,Alive,Washington Heights South,3
swamp white oak,Alive,Hudson Yards-Chelsea-Flatiron-Union Square,4
littleleaf linden,Alive,Upper West Side,3
littleleaf linden,Alive,Lenox Hill-Roosevelt Island,6
Sophora,Alive,Upper East Side-Carnegie Hill,18
Sophora,Alive,Lenox Hill-Roosevelt Island,9
cherry,Alive,Chinatown,4
pin oak,Alive,Washington Heights South,15
pin oak,Alive,Washington Heights South,9
black locust,Alive,West Village,2
black locust,Alive,Lincoln Square,7
Schumard's oak,Alive,East Harlem South,2
Sophora,Alive,Lenox Hill-Roosevelt Island,7
Callery pear,Alive,Lenox Hill-Roosevelt Island,8
littleleaf linden,Alive,Lincoln Square,8
Schumard's oak,Alive,Morningside Heights,13
black cherry,Alive,Manhattanville,4
white oak,Alive,Lincoln Square,4
Sophora,Alive,Lincoln Square,6
Callery pear,Alive,Lincoln Square,6
Callery pear,Alive,Murray Hill-Kips Bay,7
Siberian elm,Alive,East Harlem South,14
cherry,Alive,Chinatown,4
eastern cottonwood,Alive,Morningside Heights,8
littleleaf linden,Alive,Lower East Side,11
Callery pear,Alive,Clinton,23
Callery pear,Alive,Upper East Side-Carnegie Hill,8
hawthorn,Alive,Turtle Bay-East Midtown,4
purple-leaf plum,Alive,Hamilton Heights,5
Callery pear,Alive,Chinatown,14
Callery pear,Alive,Yorkville,9
Callery pear,Alive,Upper East Side-Carnegie Hill,11
Callery pear,Alive,Lenox Hill-Roosevelt Island,9
Callery pear,Alive,Clinton,14
Callery pear,Alive,Clinton,13
tree of heaven,Alive,Lenox Hill-Roosevelt Island,12
Amur maple,Alive,East Village,3
London planetree,Alive,Upper West Side,18
pin oak,Alive,Morningside Heights,19
littleleaf linden,Alive,Gramercy,4
holly,Alive,Lincoln Square,1
northern red oak,Alive,Upper West Side,3
pin oak,Alive,Lincoln Square,11
pin oak,Alive,Lincoln Square,7
red maple,Alive,Hamilton Heights,3
Japanese zelkova,Alive,Clinton,4
Japanese zelkova,Alive,Central Harlem South,6
American linden,Alive,Central Harlem South,5
honeylocust,Alive,Upper East Side-Carnegie Hill,10
green ash,Alive,Murray Hill-Kips Bay,9
Callery pear,Alive,Lenox Hill-Roosevelt Island,11
Callery pear,Alive,Upper East Side-Carnegie Hill,12
green ash,Alive,Upper West Side,8
green ash,Alive,Morningside Heights,4
pin oak,Alive,Lenox Hill-Roosevelt Island,9
pin oak,Alive,Murray Hill-Kips Bay,8
honeylocust,Alive,Yorkville,16
ginkgo,Alive,Chinatown,3
honeylocust,Alive,East Harlem South,6
Norway maple,Alive,Clinton,8
honeylocust,Alive,Lincoln Square,10
Japanese zelkova,Alive,Central Harlem South,18
Chinese elm,Alive,East Harlem South,3
ginkgo,Alive,Clinton,4
honeylocust,Alive,Chinatown,14
ginkgo,Alive,Chinatown,4
ginkgo,Alive,Murray Hill-Kips Bay,5
honeylocust,Alive,Midtown-Midtown South,3
ginkgo,Alive,Morningside Heights,7
ginkgo,Alive,Midtown-Midtown South,4
honeylocust,Alive,Lincoln Square,10
honeylocust,Alive,Murray Hill-Kips Bay,4
honeylocust,Alive,Chinatown,18
Sophora,Alive,Lincoln Square,16
Sophora,Alive,West Village,14
ginkgo,Alive,Upper East Side-Carnegie Hill,8
honeylocust,Alive,Yorkville,8
green ash,Alive,West Village,10
green ash,Alive,West Village,13
green ash,Alive,Lenox Hill-Roosevelt Island,8
white ash,Alive,Lower East Side,12
golden raintree,Alive,Hudson Yards-Chelsea-Flatiron-Union Square,2
honeylocust,Alive,Upper West Side,12
honeylocust,Alive,Upper West Side,9
honeylocust,Alive,Clinton,6
ginkgo,Alive,Murray Hill-Kips Bay,4
ginkgo,Alive,Morningside Heights,7
honeylocust,Alive,Lincoln Square,11
Callery pear,Alive,Lincoln Square,10
honeylocust,Alive,Upper West Side,13
Sophora,Alive,Murray Hill-Kips Bay,12
white oak,Alive,Lincoln Square,5
pin oak,Alive,Lincoln Square,16
pin oak,Alive,Lincoln Square,12
ginkgo,Alive,Chinatown,4
honeylocust,Alive,Upper West Side,8
ginkgo,Alive,West Village,14
ginkgo,Alive,West Village,7
honeylocust,Alive,Yorkville,13
littleleaf linden,Alive,Murray Hill-Kips Bay,11
littleleaf linden,Alive,Upper West Side,7
littleleaf linden,Alive,East Village,10
pin oak,Alive,Upper West Side,10
pin oak,Alive,Morningside Heights,21
pin oak,Alive,Upper West Side,10
pin oak,Alive,Morningside Heights,5
pin oak,Alive,Murray Hill-Kips Bay,7
red maple,Alive,Upper East Side-Carnegie Hill,4
ginkgo,Alive,Upper West Side,5
ginkgo,Alive,Upper West Side,6
honeylocust,Alive,Chinatown,10
Callery pear,Alive,Upper East Side-Carnegie Hill,8
Callery pear,Alive,Upper East Side-Carnegie Hill,7
Callery pear,Alive,Gramercy,8
Callery pear,Alive,Clinton,25
Callery pear,Alive,Lenox Hill-Roosevelt Island,12
Callery pear,Alive,Murray Hill-Kips Bay,4
Callery pear,Alive,Clinton,13
Callery pear,Alive,Lincoln Square,9
Callery pear,Alive,Lincoln Square,11
golden raintree,Alive,West Village,3
Sophora,Alive,Upper West Side,14
Sophora,Alive,East Village,6
pin oak,Alive,Lincoln Square,16
pin oak,Alive,Upper West Side,8
pin oak,Alive,Upper West Side,10
honeylocust,Alive,Yorkville,17
honeylocust,Alive,Lenox Hill-Roosevelt Island,7
honeylocust,Alive,East Harlem South,6
honeylocust,Alive,East Harlem South,7
American linden,Alive,Upper West Side,7
honeylocust,Alive,Upper West Side,13
holly,Alive,Lincoln Square,4
littleleaf linden,Alive,Lincoln Square,2
littleleaf linden,Alive,West Village,5
Callery pear,Alive,Upper East Side-Carnegie Hill,11
Callery pear,Alive,Midtown-Midtown South,4
Callery pear,Alive,Midtown-Midtown South,4
Callery pear,Alive,Murray Hill-Kips Bay,14
Callery pear,Alive,Upper East Side-Carnegie Hill,13
holly,Alive,Lincoln Square,3
holly,Alive,Lincoln Square,4
Callery pear,Alive,Upper West Side,9
London planetree,Alive,Upper West Side,18
American elm,Alive,Lower East Side,23
London planetree,Alive,West Village,12
willow oak,Alive,West Village,20
golden raintree,Alive,Chinatown,5
black locust,Alive,Washington Heights North,2
pin oak,Alive,Morningside Heights,20
pin oak,Alive,Chinatown,7
honeylocust,Alive,Lincoln Square,9
honeylocust,Alive,Manhattanville,3
honeylocust,Alive,Lincoln Square,11
northern red oak,Alive,Lincoln Square,12
Japanese zelkova,Alive,Central Harlem South,19
London planetree,Alive,Upper West Side,28
London planetree,Alive,Upper West Side,20
Callery pear,Alive,Yorkville,9
Callery pear,Alive,Lincoln Square,5
Japanese zelkova,Alive,Clinton,12
littleleaf linden,Alive,Manhattanville,4
ginkgo,Alive,Morningside Heights,12
ginkgo,Alive,Morningside Heights,11
honeylocust,Alive,Chinatown,8
pin oak,Alive,Upper West Side,15
London planetree,Alive,Upper West Side,27
holly,Alive,Lincoln Square,4
littleleaf linden,Alive,Upper West Side,14
honeylocust,Alive,Yorkville,11
honeylocust,Alive,East Harlem South,7
ginkgo,Alive,West Village,8
honeylocust,Alive,Upper West Side,8
Norway maple,Alive,Clinton,3
sawtooth oak,Alive,Lenox Hill-Roosevelt Island,5
honeylocust,Alive,Morningside Heights,11
honeylocust,Alive,Morningside Heights,4
ginkgo,Alive,Morningside Heights,3
Japanese zelkova,Alive,Clinton,9
American elm,Alive,Upper West Side,18
London planetree,Alive,Upper West Side,17
American elm,Alive,Upper West Side,7
London planetree,Alive,Chinatown,16
Japanese zelkova,Alive,Upper West Side,14
pin oak,Alive,Upper East Side-Carnegie Hill,3
pin oak,Alive,Morningside Heights,17
northern red oak,Alive,Morningside Heights,5
Kentucky coffeetree,Alive,Gramercy,2
London planetree,Alive,Morningside Heights,30
London planetree,Alive,Central Harlem South,6
willow oak,Alive,Murray Hill-Kips Bay,9
London planetree,Alive,Upper West Side,16
littleleaf linden,Alive,Lower East Side,16
honeylocust,Alive,Lincoln Square,8
American linden,Alive,Clinton,4
honeylocust,Alive,Gramercy,11
honeylocust,Alive,Battery Park City-Lower Manhattan,3
ginkgo,Alive,Chinatown,3
London planetree,Alive,Morningside Heights,4
London planetree,Alive,Morningside Heights,16
London planetree,Alive,Upper West Side,25
London planetree,Alive,Upper West Side,4
pin oak,Alive,Upper East Side-Carnegie Hill,4
pin oak,Alive,Clinton,3
Callery pear,Alive,Upper East Side-Carnegie Hill,16
Callery pear,Alive,Gramercy,9
Callery pear,Alive,Gramercy,9
Callery pear,Alive,Morningside Heights,5
American elm,Alive,Upper West Side,13
sweetgum,Alive,Upper West Side,15
Sophora,Alive,Clinton,8
Sophora,Alive,Yorkville,19
pin oak,Alive,Upper East Side-Carnegie Hill,8
pin oak,Alive,Upper West Side,8
pin oak,Alive,Morningside Heights,26
London planetree,Alive,Morningside Heights,29
London planetree,Alive,Central Harlem South,4
London planetree,Alive,Central Harlem South,6
Callery pear,Alive,Upper East Side-Carnegie Hill,8
Callery pear,Alive,Midtown-Midtown South,12
Callery pear,Alive,Lincoln Square,7
mulberry,Alive,Clinton,4
Callery pear,Alive,Upper West Side,11
honeylocust,Alive,Lincoln Square,10
honeylocust,Alive,Upper West Side,11
honeylocust,Alive,Clinton,8
ginkgo,Alive,Upper West Side,5
ginkgo,Alive,Upper West Side,6
honeylocust,Alive,West Village,16
honeylocust,Alive,Chinatown,4
Callery pear,Alive,Upper East Side-Carnegie Hill,9
Sophora,Alive,Upper East Side-Carnegie Hill,13
Sophora,Alive,Morningside Heights,7
pin oak,Alive,Morningside Heights,16
pin oak,Alive,Washington Heights South,7
pin oak,Alive,Hamilton Heights,18
black walnut,Alive,Lenox Hill-Roosevelt Island,14
honeylocust,Alive,Upper East Side-Carnegie Hill,10
honeylocust,Alive,Gramercy,11
honeylocust,Alive,East Harlem South,8
honeylocust,Alive,Lincoln Square,8
